PPBI	Pacific Premier Bancorp Inc
PPDI	Pharmaceutical Product Development
PPHM	Peregrine Pharmaceuticals Inc.
PRAA	Portfolio Recovery Associates
PRAN	Prana Biotechnology Ltd
PRCP	Perceptron
PRFT	Perficient
PRFZ	FTSE Rafi US 1500 Small-Mid Portfolio
PRGO	Perrigo Company
PRGS	Progress Software Corp.
PRGX	Prgx Global
PRIM	Primoris Services Corp.
PRKR	Parkervision
PRLS	Peerless Systems Corp.
PRMW	Primo Water Corp.
PROJ	Deltek
PROV	Provident Financial Holdings
PRPH	Prophase Labs
PRSC	The Providence Service Corp.
PRSP	Prosperity Bancshares
PRST	Presstek
PRTS	U.S. Auto Parts Network
PRVT	Private Media Group
PRWT	Premier West Bancorp
PRXI	Premier Exhibitions
PRXL	Parexel International Corp.
PSAU	Global Gold & Precious Metals
PSBH	Psb Holdings
PSCC	S&P Sc Consumer Staples
PSCD	S&P Sc Consumer Discretionary
PSCE	S&P Sc Energy
PSCF	S&P Sc Financials
PSCH	S&P Sc Health Care
PSCI	S&P Sc Industrials
PSCM	S&P Sc Materials
PSCT	S&P Sc Information Technology
PSCU	S&P Sc Utilities
PSDV	Psivida
PSEC	Prospect Capital Corp.
PSEM	Pericom Semiconductor Corp.
PSID	PositiveID Corporation
PSMT	Pricesmart
PSOF	Pansoft Company Limited
PSSI	Pss World Medical Inc.
PSTB	Park Sterling Bank
PSTI	Pluristem Therapeutics
PSTL	Global Steel Portfolio
PSTR	Postrock Energy Corp.
PSUN	Pacific Sunwear Of California
PTEK	Pokertek
PTEN	Patterson-Uti Energy
PTIE	Pain Therapeutics
PTIX	Performance Technologies Inc.
PTNR	Partner Communications Company Ltd
PTRY	The Pantry
PTSI	P.A.M. Transportation Services
PTSX	Point.360
PULB	Pulaski Financial
PURE	Pure Bioscience
PVFC	Pvf Capital
PVSA	Parkvale Financial Corp.
PVSW	Pervasive Software Inc.
PVTB	Privatebancorp
PVTBP	Privatebancorp
PWAV	Powerwave Technologies
PWER	Power-One
PWND	Global Wind Energy Portfolio
PWOD	Penns Woods Bancorp
PWRD	Perfect World Co.
PWX	Providence And Worcester Railroad
PXLW	Pixelworks
PZZA	Papa John's International
PZZI	Pizza Inn
QABA	Nasdaq Aba Community Bank
QADA	Qad Inc.
QADB	Qad Inc.
QBAK	Qualstar Corp.
QCCO	Qc Holdings
QCLN	Nasdaq Clean Edge
QCOM	Qualcomm Inc.
QCOR	Questcor Pharmaceuticals
QCRH	Qcr Holdings
QDEL	Quidel Corp.
QGEN	Qiagen N.V.
QKLS	Qkl Stores
QLGC	Qlogic Corp.
QLIK	Qlik Technologies Inc.
QLTI	Qlt Inc.
QLTY	Quality Distribution
QNST	Quinstreet
QQEW	Nasdaq-100 Equal Weighted
QQQ	QQQ Trust
QQQX	Nasdaq Premium Income And Growth
QQXT	Nasdaq-100 Ex-Technology Sector
QSFT	Quest Software
QSII	Quality Systems
QTEC	Nasdaq-100-Technology Sector
QTWW	Quantum Fuel Systems Technologies
QUIK	Quicklogic Corp.
RADA	Rada Electronics Industries Limited
RADS	Radiant Systems Inc.
RAIL	Freightcar America
RAM	Ram Energy Resources Inc.
RAND	Rand Capital Corp.
RAVN	Raven Industries
RBCAA	Republic Bancorp
RBCN	Rubicon Technology
RBNF	Rurban Financial Corp
RBPAA	Royal Bancshares Of Pennsylvania
RCII	Rent-A-Center Inc.
RCKB	Rockville Financial
RCKY	Rocky Brands
RCMT	Rcm Technologies
RCON	Recon Technology
RDA	Rda Microelectronics
RDCM	Radcom Ltd
